Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
count,3425.0,3425.0,3425.0,3425.0,3425.0
mean,219.71530652679667,222.47003963053203,216.87520666084816,219.69114343356435,28331426.10218978
std,178.17520412468025,180.3638866042644,175.99574303754162,178.30978269939004,25190747.2608903
min,17.607009887695312,18.143264918971823,17.428258210603143,17.954582382694785,4726100.0
25%,94.59919738769531,96.2079431510992,93.2982830662627,95.0162802071043,14828900.0
50%,171.30340576171875,173.35905390427163,169.31727788247716,171.3033901419022,20955500.0
75%,284.7608642578125,287.7797500544625,279.20964849752187,284.0259617338094,32236700.0
max,788.8237915039062,795.0645257736991,779.6575056048304,789.9721665216805,573576400.0
