Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
count,250.0,250.0,250.0,250.0,250.0
mean,117.90387145996094,119.1342547130626,116.53124250651996,117.65920022344145,32728912.4
std,16.047237498051082,16.10779247840987,16.091721892695393,16.150318824674926,13232577.478935478
min,85.5535888671875,86.91331805370213,84.2236299964327,85.3352304507804,12514300.0
25%,103.86769676208496,105.22990815924264,102.7933246262938,103.70890618160388,25080575.0
50%,122.39025497436523,123.72019599795321,121.14466846343771,122.19671609744424,29252950.0
75%,131.42201614379883,132.4765538680737,129.7744613564792,130.85876441342342,36235050.0
max,140.458740234375,141.6100298393638,140.13121309993724,140.52820742657298,119455000.0
