Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
count,250.0,250.0,250.0,250.0,250.0
mean,308.1390151977539,310.90550987582725,305.0589984318932,307.8947213491033,27677097.6
std,40.909928869032264,40.92557821321088,40.80217097027836,40.98745402348212,10639319.167470418
min,217.118896484375,220.48837045082183,214.2280589162467,217.79282338281794,10176600.0
25%,277.0791320800781,279.2453710385185,275.6349975366859,277.382657126261,21196200.0
50%,318.7276306152344,323.0358917121423,316.22373104629946,319.11143468711646,25052750.0
75%,331.6730270385742,334.81973754814845,328.4319492701298,331.26031759925763,29960600.0
max,377.0778503417969,378.65427940747446,372.60453806574077,378.12223413728344,78502300.0
